item_stimulus,item_cat,item_type
stimuli/items/jungle_animals_36.png,Jungle,animal
stimuli/items/jungle_objects_39.png,Jungle,object
stimuli/items/jungle_animals_22.png,Jungle,animal
stimuli/items/jungle_objects_11.png,Jungle,object
stimuli/items/jungle_animals_4.png,Jungle,animal
stimuli/items/other_animals_43.png,Other,animal
stimuli/items/other_objects_9.png,Other,object
stimuli/items/other_objects_8.png,Other,object
stimuli/items/other_animals_42.png,Other,animal
stimuli/items/jungle_animals_5.png,Jungle,animal
stimuli/items/jungle_objects_10.png,Jungle,object
stimuli/items/jungle_objects_38.png,Jungle,object
stimuli/items/jungle_animals_23.png,Jungle,animal
stimuli/items/jungle_animals_37.png,Jungle,animal
stimuli/items/jungle_animals_21.png,Jungle,animal
stimuli/items/jungle_animals_35.png,Jungle,animal
stimuli/items/jungle_objects_12.png,Jungle,object
stimuli/items/jungle_animals_7.png,Jungle,animal
stimuli/items/other_animals_40.png,Other,animal
stimuli/items/other_animals_41.png,Other,animal
stimuli/items/jungle_animals_6.png,Jungle,animal
stimuli/items/jungle_objects_13.png,Jungle,object
stimuli/items/jungle_animals_34.png,Jungle,animal
stimuli/items/jungle_animals_20.png,Jungle,animal
stimuli/items/jungle_animals_18.png,Jungle,animal
stimuli/items/jungle_objects_17.png,Jungle,object
stimuli/items/jungle_animals_24.png,Jungle,animal
stimuli/items/jungle_animals_30.png,Jungle,animal
stimuli/items/jungle_animals_2.png,Jungle,animal
stimuli/items/undersea_objects_8.png,Undersea,object
stimuli/items/undersea_objects_9.png,Undersea,object
stimuli/items/jungle_animals_3.png,Jungle,animal
stimuli/items/jungle_animals_31.png,Jungle,animal
stimuli/items/jungle_animals_25.png,Jungle,animal
stimuli/items/jungle_objects_16.png,Jungle,object
stimuli/items/jungle_animals_19.png,Jungle,animal
stimuli/items/jungle_objects_14.png,Jungle,object
stimuli/items/jungle_objects_28.png,Jungle,object
stimuli/items/jungle_animals_33.png,Jungle,animal
stimuli/items/jungle_animals_27.png,Jungle,animal
stimuli/items/jungle_animals_1.png,Jungle,animal
stimuli/items/jungle_animals_26.png,Jungle,animal
stimuli/items/jungle_objects_29.png,Jungle,object
stimuli/items/jungle_animals_32.png,Jungle,animal
stimuli/items/jungle_objects_15.png,Jungle,object
stimuli/items/jungle_animals_41.png,Jungle,animal
stimuli/items/jungle_objects_7.png,Jungle,object
stimuli/items/other_animals_34.png,Other,animal
stimuli/items/other_animals_20.png,Other,animal
stimuli/items/other_objects_13.png,Other,object
stimuli/items/undersea_objects_18.png,Undersea,object
stimuli/items/undersea_animals_17.png,Undersea,animal
stimuli/items/undersea_objects_24.png,Undersea,object
stimuli/items/undersea_objects_30.png,Undersea,object
stimuli/items/undersea_objects_31.png,Undersea,object
stimuli/items/undersea_objects_25.png,Undersea,object
stimuli/items/undersea_animals_16.png,Undersea,animal
stimuli/items/undersea_objects_19.png,Undersea,object
stimuli/items/other_objects_12.png,Other,object
stimuli/items/other_animals_21.png,Other,animal
stimuli/items/other_animals_35.png,Other,animal
stimuli/items/jungle_objects_6.png,Jungle,object
stimuli/items/jungle_animals_40.png,Jungle,animal
stimuli/items/jungle_objects_4.png,Jungle,object
stimuli/items/other_objects_38.png,Other,object
stimuli/items/other_animals_23.png,Other,animal
stimuli/items/other_animals_37.png,Other,animal
stimuli/items/other_objects_10.png,Other,object
stimuli/items/undersea_animals_14.png,Undersea,animal
stimuli/items/undersea_objects_33.png,Undersea,object
stimuli/items/undersea_animals_28.png,Undersea,animal
stimuli/items/undersea_objects_27.png,Undersea,object
stimuli/items/other_animals_9.png,Other,animal
stimuli/items/other_animals_8.png,Other,animal
stimuli/items/undersea_objects_26.png,Undersea,object
stimuli/items/undersea_objects_32.png,Undersea,object
stimuli/items/undersea_animals_29.png,Undersea,animal
stimuli/items/undersea_animals_15.png,Undersea,animal
stimuli/items/other_objects_11.png,Other,object
stimuli/items/other_animals_36.png,Other,animal
stimuli/items/other_objects_39.png,Other,object
stimuli/items/other_animals_22.png,Other,animal
stimuli/items/jungle_objects_5.png,Jungle,object
stimuli/items/jungle_objects_1.png,Jungle,object
stimuli/items/other_objects_15.png,Other,object
stimuli/items/other_animals_26.png,Other,animal
stimuli/items/other_objects_29.png,Other,object
stimuli/items/other_animals_32.png,Other,animal
stimuli/items/undersea_objects_36.png,Undersea,object
stimuli/items/undersea_objects_22.png,Undersea,object
stimuli/items/undersea_animals_39.png,Undersea,animal
stimuli/items/undersea_animals_11.png,Undersea,animal
stimuli/items/undersea_animals_10.png,Undersea,animal
stimuli/items/undersea_objects_23.png,Undersea,object
stimuli/items/undersea_animals_38.png,Undersea,animal
stimuli/items/undersea_objects_37.png,Undersea,object
stimuli/items/other_objects_28.png,Other,object
stimuli/items/other_animals_33.png,Other,animal
stimuli/items/other_animals_27.png,Other,animal
stimuli/items/other_objects_14.png,Other,object
stimuli/items/jungle_objects_2.png,Jungle,object
stimuli/items/other_objects_16.png,Other,object
stimuli/items/other_animals_19.png,Other,animal
stimuli/items/other_animals_31.png,Other,animal
stimuli/items/other_animals_25.png,Other,animal
stimuli/items/undersea_objects_21.png,Undersea,object
stimuli/items/undersea_objects_35.png,Undersea,object
stimuli/items/undersea_animals_12.png,Undersea,animal
stimuli/items/undersea_animals_8.png,Undersea,animal
stimuli/items/undersea_animals_9.png,Undersea,animal
stimuli/items/undersea_animals_13.png,Undersea,animal
stimuli/items/undersea_objects_34.png,Undersea,object
stimuli/items/undersea_objects_20.png,Undersea,object
stimuli/items/other_animals_24.png,Other,animal
stimuli/items/other_animals_30.png,Other,animal
stimuli/items/other_animals_18.png,Other,animal
stimuli/items/other_objects_17.png,Other,object
stimuli/items/jungle_objects_3.png,Jungle,object
stimuli/items/other_animals_15.png,Other,animal
stimuli/items/other_objects_32.png,Other,object
stimuli/items/other_animals_29.png,Other,animal
stimuli/items/other_objects_26.png,Other,object
stimuli/items/undersea_objects_39.png,Undersea,object
stimuli/items/undersea_animals_22.png,Undersea,animal
stimuli/items/undersea_animals_36.png,Undersea,animal
stimuli/items/undersea_objects_11.png,Undersea,object
stimuli/items/undersea_animals_4.png,Undersea,animal
stimuli/items/other_animals_3.png,Other,animal
stimuli/items/other_animals_2.png,Other,animal
stimuli/items/undersea_animals_5.png,Undersea,animal
stimuli/items/undersea_objects_10.png,Undersea,object
stimuli/items/undersea_animals_37.png,Undersea,animal
stimuli/items/undersea_objects_38.png,Undersea,object
stimuli/items/undersea_animals_23.png,Undersea,animal
stimuli/items/other_objects_27.png,Other,object
stimuli/items/other_objects_33.png,Other,object
stimuli/items/other_animals_28.png,Other,animal
stimuli/items/other_animals_14.png,Other,animal
stimuli/items/other_objects_19.png,Other,object
stimuli/items/other_animals_16.png,Other,animal
stimuli/items/other_objects_25.png,Other,object
stimuli/items/other_objects_31.png,Other,object
stimuli/items/undersea_animals_35.png,Undersea,animal
stimuli/items/undersea_animals_21.png,Undersea,animal
stimuli/items/undersea_objects_12.png,Undersea,object
stimuli/items/undersea_animals_7.png,Undersea,animal
stimuli/items/other_animals_1.png,Other,animal
stimuli/items/undersea_animals_6.png,Undersea,animal
stimuli/items/undersea_objects_13.png,Undersea,object
stimuli/items/undersea_animals_20.png,Undersea,animal
stimuli/items/undersea_animals_34.png,Undersea,animal
stimuli/items/other_objects_30.png,Other,object
stimuli/items/other_objects_24.png,Other,object
stimuli/items/other_animals_17.png,Other,animal
stimuli/items/other_objects_18.png,Other,object
stimuli/items/jungle_objects_41.png,Jungle,object
stimuli/items/jungle_objects_8.png,Jungle,object
stimuli/items/other_objects_20.png,Other,object
stimuli/items/other_objects_34.png,Other,object
stimuli/items/other_animals_13.png,Other,animal
stimuli/items/undersea_objects_17.png,Undersea,object
stimuli/items/undersea_animals_18.png,Undersea,animal
stimuli/items/undersea_animals_30.png,Undersea,animal
stimuli/items/undersea_animals_24.png,Undersea,animal
stimuli/items/other_animals_5.png,Other,animal
stimuli/items/undersea_animals_2.png,Undersea,animal
stimuli/items/undersea_animals_3.png,Undersea,animal
stimuli/items/other_animals_4.png,Other,animal
stimuli/items/undersea_animals_25.png,Undersea,animal
stimuli/items/undersea_animals_31.png,Undersea,animal
stimuli/items/undersea_animals_19.png,Undersea,animal
stimuli/items/undersea_objects_16.png,Undersea,object
stimuli/items/other_animals_12.png,Other,animal
stimuli/items/other_objects_35.png,Other,object
stimuli/items/other_objects_21.png,Other,object
stimuli/items/jungle_objects_9.png,Jungle,object
stimuli/items/jungle_objects_40.png,Jungle,object
stimuli/items/other_objects_37.png,Other,object
stimuli/items/other_objects_23.png,Other,object
stimuli/items/other_animals_38.png,Other,animal
stimuli/items/other_animals_10.png,Other,animal
stimuli/items/undersea_objects_14.png,Undersea,object
stimuli/items/undersea_animals_27.png,Undersea,animal
stimuli/items/undersea_objects_28.png,Undersea,object
stimuli/items/undersea_animals_33.png,Undersea,animal
stimuli/items/other_animals_6.png,Other,animal
stimuli/items/undersea_animals_1.png,Undersea,animal
stimuli/items/other_animals_7.png,Other,animal
stimuli/items/undersea_objects_29.png,Undersea,object
stimuli/items/undersea_animals_32.png,Undersea,animal
stimuli/items/undersea_animals_26.png,Undersea,animal
stimuli/items/undersea_objects_15.png,Undersea,object
stimuli/items/other_animals_11.png,Other,animal
stimuli/items/other_objects_22.png,Other,object
stimuli/items/other_animals_39.png,Other,animal
stimuli/items/other_objects_36.png,Other,object
stimuli/items/jungle_animals_17.png,Jungle,animal
stimuli/items/jungle_objects_18.png,Jungle,object
stimuli/items/jungle_objects_30.png,Jungle,object
stimuli/items/jungle_objects_24.png,Jungle,object
stimuli/items/undersea_objects_7.png,Undersea,object
stimuli/items/other_objects_1.png,Other,object
stimuli/items/undersea_animals_40.png,Undersea,animal
stimuli/items/undersea_objects_6.png,Undersea,object
stimuli/items/jungle_objects_25.png,Jungle,object
stimuli/items/jungle_objects_31.png,Jungle,object
stimuli/items/jungle_objects_19.png,Jungle,object
stimuli/items/jungle_animals_16.png,Jungle,animal
stimuli/items/jungle_animals_14.png,Jungle,animal
stimuli/items/jungle_objects_27.png,Jungle,object
stimuli/items/jungle_objects_33.png,Jungle,object
stimuli/items/jungle_animals_28.png,Jungle,animal
stimuli/items/undersea_objects_4.png,Undersea,object
stimuli/items/other_objects_3.png,Other,object
stimuli/items/other_objects_2.png,Other,object
stimuli/items/undersea_objects_5.png,Undersea,object
stimuli/items/jungle_objects_32.png,Jungle,object
stimuli/items/jungle_animals_29.png,Jungle,animal
stimuli/items/jungle_objects_26.png,Jungle,object
stimuli/items/jungle_animals_15.png,Jungle,animal
stimuli/items/jungle_objects_22.png,Jungle,object
stimuli/items/jungle_animals_39.png,Jungle,animal
stimuli/items/jungle_objects_36.png,Jungle,object
stimuli/items/jungle_animals_11.png,Jungle,animal
stimuli/items/other_objects_43.png,Other,object
stimuli/items/other_objects_6.png,Other,object
stimuli/items/undersea_objects_1.png,Undersea,object
stimuli/items/other_objects_7.png,Other,object
stimuli/items/other_objects_42.png,Other,object
stimuli/items/jungle_animals_10.png,Jungle,animal
stimuli/items/jungle_objects_37.png,Jungle,object
stimuli/items/jungle_objects_23.png,Jungle,object
stimuli/items/jungle_animals_38.png,Jungle,animal
stimuli/items/jungle_objects_35.png,Jungle,object
stimuli/items/jungle_objects_21.png,Jungle,object
stimuli/items/jungle_animals_12.png,Jungle,animal
stimuli/items/jungle_animals_8.png,Jungle,animal
stimuli/items/other_objects_40.png,Other,object
stimuli/items/other_objects_5.png,Other,object
stimuli/items/undersea_objects_2.png,Undersea,object
stimuli/items/undersea_objects_3.png,Undersea,object
stimuli/items/other_objects_4.png,Other,object
stimuli/items/other_objects_41.png,Other,object
stimuli/items/jungle_animals_9.png,Jungle,animal
stimuli/items/jungle_animals_13.png,Jungle,animal
stimuli/items/jungle_objects_20.png,Jungle,object
stimuli/items/jungle_objects_34.png,Jungle,object
