stimulus_path,scene_cat,scene_label,item_cat,item_type,congruency,correct_key
TESTstimuli/TESTitems/UA_object3_boots.jpg,Undersea,Negvi,,Object,si,q
TESTstimuli/TESTitems/JB_animal12_octopus.jpg,Jungle,Malbow,,Animal,si,q
TESTstimuli/TESTitems/JB_animal1_monkey.jpg,Jungle,Malbow,,Animal,sc,p
TESTstimuli/TESTitems/JA_animal6_ant.jpg,Jungle,Tulon,,Animal,sc,p
TESTstimuli/TESTitems/UB_animal16_hummingbird.jpg,Undersea,Somar,,Animal,si,q
TESTstimuli/TESTitems/JA_animal1_monkey.jpg,Jungle,Tulon,,Animal,sc,p
TESTstimuli/TESTitems/UB_object3_boots.jpg,Undersea,Somar,,Object,si,q
TESTstimuli/TESTitems/UB_animal1_monkey.jpg,Undersea,Somar,,Animal,si,q
TESTstimuli/TESTitems/UB_animal12_octopus.jpg,Undersea,Somar,,Animal,sc,p
TESTstimuli/TESTitems/UA_animal1_monkey.jpg,Undersea,Negvi,,Animal,si,q
TESTstimuli/TESTitems/UA_animal16_hummingbird.jpg,Undersea,Negvi,,Animal,si,q
TESTstimuli/TESTitems/JB_animal16_hummingbird.jpg,Jungle,Malbow,,Animal,sc,p
TESTstimuli/TESTitems/UA_animal12_octopus.jpg,Undersea,Negvi,,Animal,sc,p
TESTstimuli/TESTitems/JA_object3_boots.jpg,Jungle,Tulon,,Object,sc,p
TESTstimuli/TESTitems/JA_animal12_octopus.jpg,Jungle,Tulon,,Animal,si,q
TESTstimuli/TESTitems/JB_animal6_ant.jpg,Jungle,Malbow,,Animal,sc,p
TESTstimuli/TESTitems/JB_object3_boots.jpg,Jungle,Malbow,,Object,sc,p
TESTstimuli/TESTitems/UA_animal6_ant.jpg,Undersea,Negvi,,Animal,si,q
TESTstimuli/TESTitems/UB_animal6_ant.jpg,Undersea,Somar,,Animal,si,q
TESTstimuli/TESTitems/JA_animal16_hummingbird.jpg,Jungle,Tulon,,Animal,sc,p
